Company Name,Company HQ,Sector,URL,Date,
Care UK ,UK,Health,http://www.careukgroup.com/sites/group/files/wysiwyg/Anti-Slavery%20and%20Human%20Trafficking%20annual%20statement.pdf,17/8/16,
Cargill,USA,Agriculture/food/beverage,http://www.cargill.co.uk/en/slavery-human-trafficking/index.jsp,17/8/16,
Caring Homes Group,UK,Services,http://www.caringhomes.org/wp-content/uploads/2016/07/Anti-slavery-statement-July-2016.pdf,17/8/16,
Carter Jonas ,UK,Professional services,http://www.carterjonas.co.uk/~/media/Files/The%20Modern%20Slavery%20Act.ashx,17/8/16,
Castell Howell Foods Limited,UK,Agriculture/food/beverage,http://www.castellhowellfoods.co.uk/wp-content/uploads/2016/08/Transparency-Statement-1.pdf,9/2/16,
Catalent,USA,Health,http://www.catalent.com/index.php/Other/Modern-Slavery-Statement,17/8/16,
CDC Group,UK,Professional services,http://www.cdcgroup.com/Documents/CDC%20Modern%20Slavery%20Act%20Statement%20-%20May%202016.pdf ,17/8/16,
CDK Global,USA,Technology,http://www.cdk-global.com/pdf/CDK_GLOBAL_Modern_Slavery_Statement_July_2016.pdf,17/8/16,
CEMEX,Mexico,Construction & building materials ,http://www.cemex.co.uk/modern-slavery-act.aspx,17/8/16,
Centregreat Group,UK,Construction,http://www.centregreat.co.uk/Modern%20Slavery%20Statement.pdf,17/8/16,
CH & Co Catering Group ,UK,Services,http://www.chandco.net/policies/Modern%20Slavery%20Statement.pdf,17/8/16,
Charles Wilson Engineers Ltd.,UK,Construction & building materials ,http://www.cwplant.co.uk/wp-content/uploads/2012/11/Anti-Slavery-Human-Trafficking-Statement.pdf,17/8/16,
Christie (The),UK,Health,http://www.christie.nhs.uk/media/4045/statement-modern-slavery-may-2016.pdf,17/8/16,
Circle Housing Group,UK,Real estate,http://www.circle.org.uk/Your_home/circle-housing-policies/Anti-Slavery_and_Human_Trafficking_Transparency_Statement,17/8/16,
CIS Security Limited ,UK,Services,http://cis-security.co.uk/media/Modern-Slavery-and-Human-Trafficking-Statement-2015-16.pdf,17/8/16,
City and County Healthcare Group,UK,Health,http://www.comfortcall.co.uk/modern-slavery,17/8/16,
Clarke Energy,UK,Professional services,https://www.clarke-energy.com/anti-slavery-policy/,17/8/16,
Clarke Willmott LLP,UK,Professional services,https://www.clarkewillmott.com/statement-human-trafficking-slavery/,17/8/16,
Clearwater Group Ltd,UK,Professional services,http://www.clearwater.eu.com/about/clearwater-policy-statement-modern-slavery-act-2015,17/8/16,
Cloudreach,UK,Technology,https://www.cloudreach.com/gb-en/modern-slavery-statement/ ,17/8/16,
Cluttons,UK,Real estate,http://www.cluttons.com/sites/default/files/Cluttons%20LLP%20Slavery%20and%20Human%20Trafficking%20Statement%20Nov%202015.pdf,17/8/16,
CMC Markets Group,UK,Professional services,http://www.cmcmarkets.com/group/assets/pdf/CMC_Group_Anti_Slavery_Policy.pdf,17/8/16,
Cohort plc,UK,Services,https://www.mass.co.uk/documents/Modern%20Slavery%20Statement.pdf,17/8/16,
Colas Rail,UK,Construction & building materials ,https://www.colasrail.co.uk/media/pdf/Signed%20Modern%20Slavery%20Act%20Policy%20Statement.pdf,17/8/16,
Cook,UK,Agriculture/food/beverage,http://www.cookfood.net/downloads/COOK_Slavery_Act.pdf,17/8/16,
CORMAC,UK,Services,http://www.cormacltd.co.uk/media/21383504/slavery-and-human-trafficking-statement-final-sd-signed-copy-24082016.pdf,8/30/16,
Cornerstone,UK,Construction & building materials ,http://www.cornerstonelimited.co.uk/policies/cornerstone_humantraffickingandslaverypolicy.pdf,17/8/16,
Country Style,UK,Agriculture/food/beverage,http://www.countrystyle.co.uk/CSF-policy.pdf,17/8/16,
Country Style Recycling,UK,Utilities,http://www.countrystylerecycling.co.uk/wp-content/uploads/2014/10/Modern-Slavery-Human-Trafficking-Statement-2016.pdf,17/8/16,
CPL Industries,UK,Consumer products/retail,https://www.coals2u.co.uk/files/images/Modern_Slavery_Act_Statement.pdf,17/8/16,
Cranswick PLC,UK,Agriculture/food/beverage,https://cranswick.plc.uk/sites/default/files/Anti-slavery%20and%20human%20trafficking%20statement.pdf,17/8/16,
Cressall,UK,Manufacturing ,http://www.cressall.com/wp-content/uploads/2016/07/Modern-Slavery-Human-Trafficking-Policy.pdf?fc7857,17/8/16,
Crest Plus,UK,Professional services,http://www.crestplus.com/modern-slavery-statement.pdf,22/8/16,
Creston plc,UK,Professional services,http://www.creston.com/modern-slavery-act-statement,17/8/16,
Critical Project Resourcing (CPR),UK,Services,http://www.cpresourcing.co.uk/cm/about-us/policies/modern-slavery-statement,17/8/16,
Crown Agents,UK,Services,http://www.crownagents.com/about-us/ethics-and-compliance,17/8/16,
Crown Estate,UK,Real estate,http://www.thecrownestate.co.uk/media/761946/the-crown-estate-slavery-and-human-trafficking-statement.pdf,17/8/16,
Crown Oil ,UK,Consumer products/retail,https://www.crownoil.co.uk/slavery-and-human-trafficking-statement/,17/8/16,
CSL Behring UK Limited,Australia,Health,http://www.cslbehring.co.uk/s1/cs/beuk/1252902133141/content/1252902133103/content.htm,17/8/16,
Currie & Brown,UK,Professional services,http://www.curriebrown.com/images%5Cprojects%5Cnews%5CAnti_slavery_statement.pdf,17/8/16,
D2L,Canada,Technology,https://www.d2l.com/en-eu/legal/statement-on-modern-slavery-human-trafficking/,17/8/16,
DAC Beachcroft Claims Ltd (subsidiary of DAC Beachcroft LLP),UK,Professional services,http://www.dacbeachcroft.com/pages/slavery_and_human_trafficking_statement_claims_ltd,17/8/16,
DAC Beachcroft LLP ,UK,Professional services,http://www.dacbeachcroft.com/pages/slavery_and_human_trafficking_llp,17/8/16,
Daniel Owen,UK,Professional services,https://www.danielowen.co.uk/our-clients/anti-slavery-statement,17/8/16,
Danwood Group Ltd,UK,Services,https://www.danwood.com/modern-slavery-act/,17/8/16,
David Brown,UK,Manufacturing,http://www.davidbrown.com/mediafile/id/2202.pdf,8/26/16,
"David's Bridal UK Limited (part of David's Bridal, Inc. (USA))",UK,Consumer products/retail,http://www.davidsbridal.co.uk/webapp/wcs/stores/servlet/Content_Legal_statementmodernslavery?catalogId=15001&langId=-1,8/25/16,
Dawnfresh Seafoods,UK,Agriculture/food/beverage,http://www.dawnfresh.co.uk/modern-slavery-statement ,17/8/16,
DCC plc,Ireland,Professional services,http://www.dcc.ie/~/media/Files/D/DCC-Corp/pdfs/modern-slavery-act-statement-signed-14-july-2016.pdf,8/26/16,
DCC Vital,Ireland,Health,http://www.dccvital.com/policy/modern-slavery-act-policy/,18/8/16,
DDC plc,Ireland,Professional services,http://www.dcc.ie/~/media/Files/D/DCC-Corp/pdfs/modern-slavery-act-statement.pdf,18/8/16,
De Poel,UK,Services,https://www.depoel.co.uk/wp-content/uploads/2016/03/Modern-Slavery-Act.pdf,18/8/16,
Delta Group,UK,Professional services,http://thedeltagroup.co.uk/slavery-statement/,18/8/16,
Diebold Inc.,USA,Professional services,http://media.corporate-ir.net/media_files/IROL/10/106584/CodeOfBusiness/CA%20and%20UK%20Disclosure%201.15.2016.pdf,18/8/16,
Dixons Carphone plc,UK,Consumer products/retail,http://www.dixonscarphone.com/statement-modern-slavery,8/26/16,
Dodson & Horrell,UK,Consumer products/retail,http://www.dodsonandhorrell.com/slavery-and-human-trafficking-statement,18/8/16,
Dongguan City Liang Tai Industries Co. Ltd,China,Technology,http://liangtaicable.com/images/lt.pdf,18/8/16,
Doosan Babcock ,UK,Professional services,http://www.doosanbabcock.com/common/pdf/ModernSlavery-HoldingStatement-2015-12-02-final.pdf,18/8/16,
DriveForce,UK,Services,http://driveforce.co.uk/PDF/DriveForce%20Section%2054%20Statement%20100816.pdf,8/30/16,
Dunbia,UK,Agriculture/food/beverage,http://www.dunbia.com/getattachment/Discover-Dunbia/Corporate-Compliance/Dunbia-Modern-Slavery-Act-Supply-Chain-Statement.pdf.aspx,18/8/16,
DWF LLP,UK,Professional services,https://www.dwf.law/slavery-human-trafficking-statement/,18/8/16,
Dŵr Cymru Welsh Water,UK,Utilities,http://www.dwrcymru.com/en/Reading_Room_Library/Company-Statements.aspx,18/8/16,
E P Barrus,UK,Professional services,http://www.barrus.co.uk/media/2490/modern-slavery-and-human-trafficking-statement.pdf,18/8/16,
Eakin Group,UK,Health,http://www.respond.co.uk/wp-content/uploads/2016/02/Eakin-Investments-Limited.-Group-Statement-of-Compliance-with-the-Modern-Slavery-Act-2015.pdf,18/8/16,
East Lindsey District Council,UK,Services,http://www.e-lindsey.gov.uk/CHttpHandler.ashx?id=5004&p=0,18/8/16,
Eastman Chemical Company,USA,Chemical,http://www.eastman.com/Company/investors/Corporate_Governance/Documents/EMN_Stmt_on_Slavery_and_Human_Trafficking.pdf,8/26/16,
Economist Group,UK,Media/publishing ,http://www.economistgroup.com/pdfs/Modern_Slavery_statement.pdf,18/8/16,
EDM Group,UK,Professional services,http://edmgroup.com/wp-content/uploads/2016/07/Modern-Slavery-Act-Policy-Statement-V1-.pdf,8/26/16,
Education Development Trust,UK,Services,https://www.educationdevelopmenttrust.com/~/media/EDT/files/governance/anti-slavery-statement-signed-%202016.pdf,18/8/16,
EE,UK,Technology,http://ee.co.uk/content/dam/everything-everywhere/documents/Our%20Company%20responsibility/EE%20Statement%20-%20Modern%20Slavery%20Act.pdf,18/8/16,
ege,Denmark,Furnishings ,http://www.egecarpets.com/csr/working-conditions,22/8/16,
Electricity North West,UK,Utilities,http://www.enwl.co.uk/about-us/modern-slavery-act-compliance-statement,18/8/16,
Electrocomponents plc,UK,Technology,http://www.electrocomponents.com/our-offer/supply-chain/slavery-and-human-trafficking-statement,18/8/16,
EMC,USA,Technology,http://uk.emc.com/corporate/sustainability/supply-chain/slavery-and-human-trafficking.htm,18/8/16,
EMCOR UK ,UK,Professional services,http://www.emcoruk.com/who-we-are/modern-slavery-act-2015 ,18/8/16,
Emo DCC Energy Ltd,UK,Utilities,https://www.emooil.com/assets/sites/4/Oil-Ireland-Modern-Slavery-Statement.pdf,18/8/16,
Encore Personnel Services,UK,Services,https://www.encorepersonnel.co.uk/docs/slavery-and-human-trafficking-statement.pdf,18/8/16,
"Energizer Holdings, Inc",USA,Consumer products/retail,http://www.energizerholdings.com/en/company/supplier-relations/Documents/California_Transparency_in_Supply_Chains_Act.pdf,18/8/16,
Equine and Livestock Insurance Company,UK,Finance,https://www.eandl.co.uk/images/slavery-act-statement.pdf,18/8/16,
ESM Power,UK,Technology,http://www.lmgiq.com/wp-content/uploads/2016/04/LM441-Slavery-and-Human-Trafficking-Statement.pdf,18/8/16,
Esri UK ,UK,Technology,http://www.esriuk.com/~/media/B619A1ED25144BC2A258535CD115CB0D,18/8/16,
Essar Oil (UK),UK,Natural resources,https://www.essaroil.co.uk/media/1178/anti-slavery-and-human-trafficking-policy.pdf,18/8/16,
euNetworks,UK,Technology,http://www.eunetworks.com/modern-slavery-act-statement/,18/8/16,
European Oat Millers,UK,Agriculture/food/beverage,http://www.oatmillers.com/wp-content/uploads/2016/04/Modern-Slavery-Act-Policy.pdf,18/8/16,
EvoBus (UK) Ltd,UK,Transport,https://www.evobus.com/en/en-gb/menus/footer/modern-slavery-act/,8/30/16,
Exertis (UK) Ltd ,UK,Technology,https://www.exertissupplies.co.uk/files/Modern%20Slavery%20Statement%20Exertis%20UK%20(30June2016).pdf,18/8/16,
Exertis Supply Chain Services Ltd (part of DCC Group),Ireland,Consumer products/retail,http://www.exertissupplychain.com/wp-content/uploads/2016/07/2016-07-25-Modern-Slavery-Statement-NJ.pdf,18/8/16,
Export -Import Bank of India,India,Finance,http://www.eximbankindia.in/sites/default/files/antislavery.pdf,18/8/16,
Farrow & Ball,UK,Furnishings ,http://www.farrow-ball.com/modern-slavery-act-statement/content/fcp-content,18/8/16,
FatFace,UK,Consumer products/retail,http://www.fatfacecorporate.com/~/media/Files/F/Fatface/reports-and-presentation/reports/modern-slavery-statement-2016.pdf,8/30/16,
FibreFab,UK,Technology,http://www.fibrefab.com/wp-content/uploads/downloads/2016/06/FibreFab-Modern-Slavery-Statement-May-2016.pdf,18/8/16,
Finlays ,UK,Agriculture/food/beverage,http://www.finlays.net/tea-estates/statement-on-slavery-and-human-trafficking,18/8/16,
Flexforce,UK,Professional services,http://www.flexforce.me/slavery-statement/,18/8/16,
